商品编号,商品分类,名称,商品型号,品牌,封装规格,购买数量,商品单价(元),金额(元)
C82942,线性稳压器(LDO),3.3V 500mA 6V 编带,ME6211C33M5G-N,MICRONE(南京微盟),SOT-23-5,10.0,0.3131,3.13
C6119852,贴片电容(MLCC),1uF ±10% 50V 编带,CGA0603X5R105K500JT,HRE(芯声),0603,50.0,0.0447,2.24
C2762594,贴片电容(MLCC),22uF ±20% 16V 编带,CL10A226MO7JZNC,SAMSUNG(三星),0603,5.0,0.3089,1.54
C96090,贴片电容(MLCC),1.5nF ±10% 50V 编带,CC0603KRX7R9BB152,YAGEO(国巨),0603,100.0,0.0174,1.74
C22935,贴片电阻,1MΩ ±1% 100mW 厚膜电阻 编带,0603WAF1004T5E,UNI-ROYAL(厚声),0603,100.0,0.009,0.9
C2907029,贴片电阻,360kΩ ±1% 100mW 厚膜电阻 编带,FRC0603F3603TS,FOJAN(富捷),0603,100.0,0.006745,0.67
C77835,D-Sub/VGA连接器,黑色 D-Sub 母 P数:15P 托盘,DS1037-15FNAKT74-0CC,CONNFLY,弯插,2.0,3.11,6.22
C19272404,线对板针座,1x10P 间距:1.25mm 卧贴 系列:PicoBlade(MX 1.25) 编带,ZX-MX1.25-10PCB,Megastar(兆星),"SMD,P=1.25mm,卧贴",5.0,1.1115,5.56
C5137501,贴片电容(MLCC),47pF ±5% 50V 编带,FCC0603N470J500CT,FOJAN(富捷),0603,100.0,0.0159,1.59
C479074,DC-DC电源芯片,降压型 2A 2.5V~5.5V 编带,SY8089A1AAC,Silergy(矽力杰),SOT-23-5,50.0,0.4654,23.27
C22859,贴片电阻,10Ω ±1% 100mW 厚膜电阻 编带,0603WAF100JT5E,UNI-ROYAL(厚声),0603,20.0,0.0117,0.23
C2907061,贴片电阻,680kΩ ±1% 100mW 厚膜电阻 编带,FRC0603F6803TS,FOJAN(富捷),0603,100.0,0.007315,0.73
C4184,贴片电阻,20kΩ ±1% 100mW 厚膜电阻 编带,0603WAF2002T5E,UNI-ROYAL(厚声),0603,100.0,0.0075,0.75
C23140,贴片电阻,33Ω ±1% 100mW 厚膜电阻 编带,0603WAF330JT5E,UNI-ROYAL(厚声),0603,100.0,0.0083,0.83
